generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,gaussian,0.5,95,84,x_1*x_23*,PRODUCT,True,0.10049165785312653,0.835412169952136
interaction,gaussian,0.5,96,71,x_1*x_10*,PRODUCT,True,0.09896210581064224,0.8379173097517569
interaction,gaussian,0.5,97,103,x_2*x_13*,PRODUCT,True,0.09773098677396774,0.8399336682745014
interaction,gaussian,0.5,98,121,x_2*x_31*,PRODUCT,True,0.09643958508968353,0.8420487592728721
interaction,gaussian,0.5,99,422,x_16*x_31*,PRODUCT,True,0.09502162784337997,0.8443711262360168
interaction,gaussian,0.5,100,212,x_6*x_16*,PRODUCT,True,0.09370335936546326,0.8465302203621973
interaction,gaussian,0.5,101,37,x_0*x_6*,PRODUCT,True,0.09230399876832962,0.8488221292535136
interaction,gaussian,0.5,102,35,x_0*x_4*,PRODUCT,True,0.09084886312484741,0.8512053879548088
interaction,gaussian,0.5,103,215,x_6*x_19*,PRODUCT,True,0.08957790583372116,0.8532869945985734
interaction,gaussian,0.5,104,458,x_19*x_28*,PRODUCT,True,0.0878540500998497,0.8561103699972373
interaction,gaussian,0.5,105,209,x_6*x_13*,PRODUCT,True,0.08633691072463989,0.8585951800101331
interaction,gaussian,0.5,106,230,x_7*x_10*,PRODUCT,True,0.08506374806165695,0.8606803986688261
interaction,gaussian,0.5,107,499,x_23*x_31*,PRODUCT,True,0.0837564542889595,0.8628215181396366
interaction,gaussian,0.5,108,202,x_5*x_31*,PRODUCT,True,0.08238992840051651,0.8650596494978812
interaction,gaussian,0.5,109,199,x_5*x_28*,PRODUCT,True,0.07839830964803696,0.8715972256796689
interaction,gaussian,0.5,110,150,x_4*x_5*,PRODUCT,True,0.07659947872161865,0.874543397383144
interaction,gaussian,0.5,111,181,x_5*x_10*,PRODUCT,True,0.0738818421959877,0.878994412603394
interaction,gaussian,0.5,112,179,x_5*x_8*,PRODUCT,True,0.07195750623941422,0.8821461396834508
interaction,gaussian,0.5,113,184,x_5*x_13*,PRODUCT,True,0.069198839366436,0.8866643554652226
interaction,gaussian,0.5,114,235,x_7*x_15*,PRODUCT,True,0.06723912805318832,0.889874021217171
interaction,gaussian,0.5,115,196,x_5*x_25*,PRODUCT,True,0.06529200822114944,0.8930630643163188
interaction,gaussian,0.5,116,183,x_5*x_12*,PRODUCT,True,0.06319687515497208,0.8964945273092734
interaction,gaussian,0.5,117,341,x_12*x_16*,PRODUCT,True,0.06118259206414223,0.899793572126569
interaction,gaussian,0.5,118,187,x_5*x_16*,PRODUCT,True,0.05910630524158478,0.9031941682554652
interaction,gaussian,0.5,119,180,x_5*x_9*,PRODUCT,True,0.05641135573387146,0.9076080260924149
interaction,gaussian,0.5,120,46,x_0*x_15*,PRODUCT,True,0.05410539358854294,0.9113847903908688
interaction,uniform,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5998607873916626,0.019237056801157504
interaction,uniform,0.5,2,8,x_8,LINEAR,False,0.57535320520401,0.059306567831482526
interaction,uniform,0.5,3,24,x_24,LINEAR,False,0.5070072412490845,0.17105114286140294
interaction,uniform,0.5,4,492,x_23*x_24,PRODUCT,False,0.4995397627353668,0.18326035266361984
interaction,uniform,0.5,5,23,x_23,LINEAR,False,0.483979195356369,0.20870163534327163
interaction,uniform,0.5,6,273,x_8*x_30*,PRODUCT,True,0.47816213965415955,0.21821242983286968
interaction,uniform,0.5,7,30,x_30,LINEAR,False,0.4647781252861023,0.24009508260720547
